Year,Nextflow,Snakemake,CWL,Other,Total
2018,56,144,38,156,394
2019,126,234,89,238,687
2020,223,360,75,423,1081
2021,447,419,136,564,1566
2022,609,370,242,585,1806
2023,1040,366,226,615,2247
2024,1874,388,189,594,3045
2025,2312,375,201,671,3559
