Year,Nextflow,Snakemake,CWL,Galaxy,Other,Total
2018,56,144,38,762,156,1156
2019,126,234,89,902,238,1589
2020,223,360,75,988,423,2069
2021,447,419,136,1161,564,2727
2022,609,370,242,1175,585,2981
2023,1040,366,226,1172,615,3419
2024,1874,388,189,1228,594,4273
2025,2312,375,201,1498,671,5057
