Year,Nextflow,Snakemake,CWL,Other,Total
2018,23,75,18,21,137
2019,52,126,52,32,262
2020,107,168,57,37,369
2021,280,298,104,46,728
2022,361,318,190,14,883
2023,694,403,172,24,1293
2024,1153,468,173,24,1818
2025,1552,493,167,30,2242
