Year,Nextflow,Snakemake,CWL,Galaxy,Other,Total
2018,23,75,18,537,21,674
2019,52,126,52,617,32,879
2020,107,168,57,647,37,1016
2021,280,298,104,817,46,1545
2022,361,318,190,791,14,1674
2023,694,403,172,878,24,2171
2024,1153,468,173,829,24,2647
2025,1552,493,167,1042,30,3284
