Year,Nextflow,Snakemake,CWL,Other,Total
2018,64,153,61,176,454
2019,143,251,131,248,773
2020,247,450,132,455,1284
2021,520,672,222,613,2027
2022,683,607,296,599,2185
2023,1141,707,294,618,2760
2024,2126,826,244,633,3829
2025,2230,702,191,589,3712
