Year,Nextflow,Snakemake,CWL,Galaxy,Other,Total
2018,64,153,61,850,176,1304
2019,143,251,131,1007,248,1780
2020,247,450,132,1184,455,2468
2021,520,672,222,1450,613,3477
2022,683,607,296,1295,599,3480
2023,1141,707,294,1287,618,4047
2024,2126,826,244,1425,633,5254
2025,2230,702,191,1374,589,5086
