Year,Nextflow,Snakemake,CWL,Galaxy,Other,Total
2018,33,86,24,644,22,809
2019,71,149,63,758,32,1073
2020,117,200,59,755,71,1202
2021,301,310,110,956,122,1799
2022,379,359,190,905,110,1943
2023,688,403,180,950,127,2348
2024,1151,461,171,930,169,2882
2025,1454,502,172,1100,148,3376
