Year,Nextflow,Snakemake,CWL,Other,Total
2018,33,86,24,22,165
2019,71,149,63,32,315
2020,117,200,59,71,447
2021,301,310,110,122,843
2022,379,359,190,110,1038
2023,688,403,180,127,1398
2024,1151,461,171,169,1952
2025,1454,502,172,148,2276
